iter	Passed	Remaining
942	12145	734
943	12158	721
944	12172	708
945	12184	695
946	12197	682
947	12209	669
948	12221	656
949	12233	643
950	12247	631
951	12260	618
952	12274	605
953	12287	592
954	12300	579
955	12319	567
956	12338	554
957	12358	541
958	12378	529
959	12402	516
960	12424	504
961	12446	491
962	12464	478
963	12484	466
964	12501	453
965	12515	440
966	12528	427
967	12545	414
968	12560	401
969	12576	388
970	12589	375
971	12603	363
972	12618	350
973	12631	337
974	12645	324
975	12658	311
976	12670	298
977	12682	285
978	12694	272
979	12706	259
980	12720	246
981	12732	233
982	12744	220
983	12757	207
984	12769	194
985	12782	181
986	12795	168
987	12808	155
988	12821	142
989	12835	129
990	12850	116
991	12863	103
992	12875	90
993	12889	77
994	12902	64
995	12914	51
996	12927	38
997	12939	25
998	12953	12
999	12964	0
